gene,cancer_type,tumor_expression,survival_association,geo_validation,depmap_dependency,normal_tissue_safety,mutation_cna_support,novelty_score,notes
MKI67,GBM,positive,negative,partial,strong,moderate,weak,low,Proliferation marker; strong biological signal but low novelty.
CREBBP,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: CREBBP in Thyroid cancer; pathway context: Epigenetic regulation.
CTNNB1,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CTNNB1 in Thyroid cancer; pathway context: WNT signaling.
EGFR,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: EGFR in Thyroid cancer; pathway context: RTK signaling.
EIF1AX,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: EIF1AX in Thyroid cancer; pathway context: Cancer-associated pathway context.
EP300,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: EP300 in Thyroid cancer; pathway context: Epigenetic regulation.
EPCAM,Thyroid cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: EPCAM in Thyroid cancer; pathway context: Epithelial antigen / adhesion.
ERBB2,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: ERBB2 in Thyroid cancer; pathway context: RTK signaling.
ERBB3,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: ERBB3 in Thyroid cancer; pathway context: RTK signaling.
FBXW7,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: FBXW7 in Thyroid cancer; pathway context: Protein turnover.
HIF1A,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: HIF1A in Thyroid cancer; pathway context: Hypoxia / angiogenesis.
HRAS,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: HRAS in Thyroid cancer; pathway context: RAS-MAPK signaling.
JAK1,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: JAK1 in Thyroid cancer; pathway context: JAK-STAT / immune signaling.
JAK2,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: JAK2 in Thyroid cancer; pathway context: JAK-STAT / immune signaling.
KEAP1,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: KEAP1 in Thyroid cancer; pathway context: Oxidative stress / NRF2.
KMT2C,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: KMT2C in Thyroid cancer; pathway context: Epigenetic regulation.
KMT2D,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: KMT2D in Thyroid cancer; pathway context: Epigenetic regulation.
KRAS,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: KRAS in Thyroid cancer; pathway context: RAS-MAPK signaling.
MDM2,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MDM2 in Thyroid cancer; pathway context: p53 pathway.
MDM4,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MDM4 in Thyroid cancer; pathway context: p53 pathway.
MET,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MET in Thyroid cancer; pathway context: RTK signaling.
MLH1,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: MLH1 in Thyroid cancer; pathway context: Mismatch repair / MSI.
MSH2,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: MSH2 in Thyroid cancer; pathway context: Mismatch repair / MSI.
MSH6,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: MSH6 in Thyroid cancer; pathway context: Mismatch repair / MSI.
MSLN,Thyroid cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: MSLN in Thyroid cancer; pathway context: Tumor antigen / adhesion.
MTOR,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: MTOR in Thyroid cancer; pathway context: PI3K-AKT-mTOR signaling.
MUC1,Thyroid cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: MUC1 in Thyroid cancer; pathway context: Epithelial antigen / mucin biology.
MUC16,Thyroid cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: MUC16 in Thyroid cancer; pathway context: Epithelial antigen / mucin biology.
MYC,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MYC in Thyroid cancer; pathway context: MYC/proliferation program.
NECTIN4,Thyroid cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: NECTIN4 in Thyroid cancer; pathway context: Tumor antigen.
NFE2L2,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: NFE2L2 in Thyroid cancer; pathway context: Oxidative stress / NRF2.
NOTCH1,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: NOTCH1 in Thyroid cancer; pathway context: Notch signaling.
NOTCH2,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: NOTCH2 in Thyroid cancer; pathway context: Notch signaling.
NRAS,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: NRAS in Thyroid cancer; pathway context: RAS-MAPK signaling.
NTRK1,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: NTRK1 in Thyroid cancer; pathway context: RTK / fusion signaling.
NTRK3,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: NTRK3 in Thyroid cancer; pathway context: RTK / fusion signaling.
PALB2,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: PALB2 in Thyroid cancer; pathway context: DNA repair / HRD.
PDCD1LG2,Thyroid cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: PDCD1LG2 in Thyroid cancer; pathway context: Immune checkpoint.
PIK3CA,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: PIK3CA in Thyroid cancer; pathway context: PI3K-AKT signaling.
PIK3R1,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: PIK3R1 in Thyroid cancer; pathway context: PI3K-AKT signaling.
PMS2,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: PMS2 in Thyroid cancer; pathway context: Mismatch repair / MSI.
PTEN,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: PTEN in Thyroid cancer; pathway context: PI3K-AKT signaling.
RAD51,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: RAD51 in Thyroid cancer; pathway context: DNA repair / HRD.
RAS,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: RAS in Thyroid cancer; pathway context: Cancer-associated pathway context.
RB1,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: RB1 in Thyroid cancer; pathway context: Cell cycle.
RET,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: RET in Thyroid cancer; pathway context: RTK / fusion signaling.
SMAD4,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: SMAD4 in Thyroid cancer; pathway context: TGF-beta signaling.
SMARCA4,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: SMARCA4 in Thyroid cancer; pathway context: Chromatin remodeling.
SMARCB1,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: SMARCB1 in Thyroid cancer; pathway context: Chromatin remodeling.
TERT,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: TERT in Thyroid cancer; pathway context: Telomere maintenance.
TGFBR2,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: TGFBR2 in Thyroid cancer; pathway context: TGF-beta signaling.
TP53,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: TP53 in Thyroid cancer; pathway context: Tumor-suppressor pathway.
TROP2,Thyroid cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: TROP2 in Thyroid cancer; pathway context: Tumor antigen.
VEGFA,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: VEGFA in Thyroid cancer; pathway context: Angiogenesis / microenvironment.
AKT1,Uveal melanoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: AKT1 in Uveal melanoma; pathway context: PI3K-AKT signaling.
APC,Uveal melanoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: APC in Uveal melanoma; pathway context: WNT signaling.
ARID1A,Uveal melanoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ARID1A in Uveal melanoma; pathway context: Chromatin remodeling.
ARID1B,Uveal melanoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ARID1B in Uveal melanoma; pathway context: Chromatin remodeling.
ATM,Uveal melanoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ATM in Uveal melanoma; pathway context: DNA damage response.
ATR,Uveal melanoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: ATR in Uveal melanoma; pathway context: DNA damage response.
B2M,Uveal melanoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: B2M in Uveal melanoma; pathway context: Antigen presentation.
BAP1,Uveal melanoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: BAP1 in Uveal melanoma; pathway context: Chromatin / DNA repair.
BRAF,Uveal melanoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: BRAF in Uveal melanoma; pathway context: MAPK signaling.
BRCA1,Uveal melanoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: BRCA1 in Uveal melanoma; pathway context: DNA repair / HRD.
BRCA2,Uveal melanoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: BRCA2 in Uveal melanoma; pathway context: DNA repair / HRD.
CCND1,Uveal melanoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CCND1 in Uveal melanoma; pathway context: Cell cycle.
CD274,Uveal melanoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: CD274 in Uveal melanoma; pathway context: Immune checkpoint.
